hispanic,citizen,black,exp,wage,female,education
1,0,0,14.47,8.6805556,0,11
1,0,0,13.0,15.635938,0,10
1,0,0,15.0,6.7307692,0,12
0,1,0,14.7,8.1307692,0,13
1,0,0,10.0,5.2447552,0,9
1,0,0,15.0,2.0,0,12
0,1,0,11.7,16.826923,0,14
1,0,0,11.0,15.625,0,9
1,0,0,12.9,2.8846154,0,3
0,1,0,14.0,28.888889,0,16
0,1,0,14.0,9.6153846,0,12
1,0,0,15.0,9.2307692,0,12
1,0,0,12.7,187.99615,0,13
0,0,0,11.0,17.307692,0,16
1,0,0,12.74,7.5,0,7
0,1,0,13.7,4.9952381,0,13
0,1,0,11.7,97.758,0,13
0,1,0,15.0,38.461538,0,14
0,1,0,14.0,26.923077,0,16
0,1,0,14.0,62.665385,0,18
0,1,0,13.0,53.846154,0,18
0,1,0,14.0,32.051282,0,18
0,0,0,12.7,250.66154,0,13
0,1,0,11.0,11.538462,0,16
1,1,0,10.0,15.104167,0,10
1,1,0,10.7,14.102564,0,13
0,1,0,10.0,7.0041667,0,12
0,1,0,13.0,14.423077,0,16
0,1,0,11.7,9.0222222,0,13
0,0,1,10.7,22.115385,0,14
0,1,0,12.0,25.0,0,12
1,0,0,14.74,5.7692308,0,7
0,1,0,12.0,6.0810811,0,12
0,0,0,13.0,9.5238095,0,18
0,1,0,13.0,14.807692,0,14
0,1,0,12.0,17.671518,0,12
0,1,0,10.7,11.045673,0,13
1,1,0,13.0,4.6945312,0,12
1,0,0,11.0,8.0,0,12
1,0,0,14.74,4.8076923,0,7
1,1,0,10.0,6.7708333,0,10
1,1,0,14.0,15.626894,0,16
0,0,0,10.7,13.888889,0,13
0,1,0,15.0,9.1346154,0,12
0,1,0,11.0,45.673077,0,18
0,1,1,15.0,11.855012,0,12
1,0,0,13.0,10.302198,0,11
1,0,0,13.0,3.6617187,0,12
0,1,0,13.7,38.0,0,13
0,1,0,12.0,12.019231,0,12
1,1,0,11.7,10.576923,0,13
0,1,0,10.7,9.5238095,0,13
0,1,0,13.7,21.875,0,14
1,0,0,11.74,5.46875,0,7
1,0,0,12.0,6.5,0,9
0,1,0,13.0,9.6153846,0,16
0,1,0,15.0,28.846154,0,18
0,1,0,12.0,12.063077,0,12
1,1,1,10.0,4.25,0,10
1,1,0,11.0,10.096154,0,10
0,1,0,10.47,15.384615,0,11
0,1,0,13.7,14.423077,0,13
1,1,0,11.9,2.6315789,0,3
0,1,0,11.0,6.6666667,0,12
0,1,0,15.0,9.9611111,0,16
0,1,0,10.0,42.735043,0,16
0,1,0,11.0,26.201923,0,16
0,1,0,15.0,28.365385,0,16
0,1,0,10.0,20.652174,0,12
0,1,0,11.0,9.6153846,0,14
0,0,0,10.0,21.923077,0,16
0,1,0,12.0,9.6153846,0,9
0,1,0,10.0,14.583333,0,12
1,1,0,14.7,20.08547,0,13
0,1,0,11.7,15.0,0,14
0,0,0,13.7,9.6153846,0,13
1,1,0,13.0,4.5,0,0
0,1,0,13.7,8.6734694,0,13
0,1,0,12.0,12.393162,0,16
0,1,0,15.0,16.0,0,16
0,1,0,13.7,26.538462,0,13
0,1,0,11.0,17.307692,0,16
0,1,0,12.0,23.076923,0,16
1,0,0,10.0,3.3936652,0,12
0,1,0,11.47,20.75,0,11
1,1,0,13.7,14.655172,0,13
1,0,0,11.0,3.6057692,0,11
0,1,0,15.0,10.576923,0,12
0,1,0,11.47,7.2115385,0,11
0,0,0,10.74,4.6153846,0,7
0,1,0,12.7,16.528365,0,13
0,1,0,11.7,13.461538,0,13
0,1,0,14.7,10.48951,0,13
1,1,0,15.0,14.423077,0,12
0,1,0,12.7,16.346154,0,13
0,1,0,14.7,16.666667,0,14
0,1,0,11.7,14.423077,0,14
1,0,0,12.7,3.8095238,0,14
0,1,0,10.0,28.846154,0,16
0,1,0,14.7,10.434783,0,13
0,0,0,11.7,27.350427,0,13
0,1,0,12.0,25.961538,0,18
0,1,0,10.7,21.538462,0,13
0,0,0,15.0,16.025641,0,18
1,0,0,12.74,8.6538462,0,7
0,1,0,14.0,8.2301282,0,11
0,1,0,15.0,4.6798246,0,16
0,1,0,14.7,12.980769,0,13
0,1,0,10.0,21.24183,0,18
0,1,0,14.0,20.960165,0,16
0,1,0,10.0,13.990385,0,16
0,1,0,14.0,17.080745,0,16
1,1,0,12.0,18.589103,0,18
0,1,1,10.7,11.538462,0,13
0,1,0,11.7,23.211138,0,13
0,0,0,15.0,16.3064,0,16
1,1,0,12.0,13.461538,0,12
1,0,0,13.74,6.25,0,7
1,1,0,10.7,6.9662222,0,13
1,1,0,11.0,10.096154,0,10
0,1,0,10.0,3.125,0,11
0,1,0,10.47,12.019231,0,11
0,1,0,11.0,16.826923,0,16
0,1,0,15.0,13.461538,0,16
0,0,0,11.0,13.461538,0,14
0,1,1,13.7,11.538462,0,13
0,1,1,10.7,7.2115385,0,13
0,1,0,14.0,16.923077,0,18
0,1,0,10.7,14.86014,0,13
0,1,1,11.7,12.5,0,13
0,1,1,10.47,4.3269231,0,11
1,0,0,12.0,2.6041667,0,18
0,1,0,12.0,5.83125,0,18
0,1,0,11.0,11.965812,0,9
0,1,1,13.7,5.625,0,13
0,1,0,14.7,20.032051,0,13
0,1,0,11.0,11.057692,0,18
1,0,0,12.7,15.0,0,13
0,1,0,12.7,11.111111,0,13
0,1,0,11.0,16.826923,0,16
