hispanic,citizen,black,exp,wage,female,education
0,1,0,13.0,8.6538462,1,12
0,1,0,12.7,12.5,1,13
1,1,0,12.0,7.5,1,12
1,0,0,10.0,4.1666667,1,16
0,1,0,15.0,10.39501,1,12
1,0,0,10.0,58.506838,1,12
1,0,0,11.0,3.6458333,1,12
1,1,0,15.0,9.6153846,1,12
1,0,0,10.0,13.461538,1,14
1,1,0,14.0,4.9902256,1,12
1,1,0,12.47,8.452381,1,11
0,1,0,13.7,15.865385,1,13
0,1,0,11.7,9.6153846,1,13
0,0,0,10.0,7.2115385,1,10
0,1,0,14.0,10.0,1,12
0,1,1,15.0,5.5576923,1,12
0,1,0,11.7,15.625,1,13
0,1,0,15.0,2.0833333,1,12
0,1,0,11.7,16.346154,1,14
0,1,0,10.0,20.394444,1,16
0,1,0,12.7,15.10625,1,13
0,1,0,10.0,7.5,1,16
0,1,0,10.0,19.845455,1,16
0,1,0,14.0,11.072261,1,12
0,1,0,13.0,29.893902,1,16
0,1,0,14.0,8.4615385,1,12
0,1,0,10.0,62.665385,1,18
0,1,0,13.7,13.795987,1,13
0,1,0,10.0,15.384615,1,16
0,1,0,11.0,21.593407,1,16
0,1,0,10.7,21.527778,1,13
0,1,0,10.0,7.3076923,1,12
1,1,0,12.7,13.461538,1,13
0,1,0,14.0,14.0625,1,18
0,1,0,12.0,18.131868,1,16
0,1,0,11.0,33.371154,1,18
1,1,0,10.0,13.158654,1,12
0,1,1,15.0,15.217391,1,16
0,1,1,11.7,18.0,1,13
1,0,0,14.0,8.6538462,1,12
0,1,0,13.0,12.019231,1,12
1,0,0,12.74,9.375,1,7
0,1,0,14.7,19.886364,1,13
0,1,1,13.0,14.553015,1,12
0,1,0,12.0,24.038462,1,16
0,1,1,12.7,20.634921,1,13
0,1,0,14.7,20.769231,1,13
0,0,0,14.0,34.965035,1,18
0,1,0,15.0,15.0,1,18
0,1,0,12.0,5.7692308,1,16
0,1,0,14.0,12.5,1,16
0,1,0,10.0,3.75,1,14
0,1,0,12.0,23.076923,1,16
0,1,0,10.0,9.4143519,1,18
0,1,0,11.7,33.333333,1,14
1,0,0,13.7,9.1346154,1,13
1,0,0,13.0,6.6666667,1,9
1,1,0,10.7,5.7142857,1,14
0,1,0,11.0,21.634615,1,16
1,1,0,11.0,5.0,1,12
0,1,0,10.0,11.834615,1,12
1,1,0,13.0,1.5,1,9
1,1,0,11.0,10.527778,1,16
1,0,0,12.74,4.21875,1,7
0,1,1,10.7,12.820513,1,13
1,1,0,14.0,10.416667,1,12
0,0,0,13.0,14.423077,1,16
0,1,0,12.0,13.492692,1,18
1,1,0,10.0,10.538571,1,12
1,0,0,15.0,4.5,1,9
1,0,0,10.74,5.0480769,1,7
1,1,0,10.47,4.3649038,1,11
0,1,1,12.0,7.77875,1,12
0,1,1,15.0,16.826923,1,16
0,1,0,10.7,13.421635,1,13
0,1,1,15.0,3.75,1,11
0,1,1,15.0,9.6153846,1,12
0,1,0,15.0,18.803419,1,16
1,1,0,10.47,3.0769231,1,11
1,0,0,10.0,20.3125,1,12
1,0,0,10.47,5.2884615,1,11
1,0,0,10.74,5.8333333,1,7
0,0,1,14.0,7.6923077,1,14
0,0,1,13.0,4.3269231,1,12
0,1,1,12.7,4.8,1,13
0,1,1,10.0,3.8461538,1,16
