year,countryname,countrycode,gdp,gdppc,co2,co2pc,population,oecd
2010,Zambia,ZMB,9799629000.0,741.4421,2427.554,0.18366927,13216985,0.0
2010,French Polynesia,PYF,,,883.747,3.296764,268065,0.0
2010,Monaco,MCO,,,,,36845,0.0
2010,Ukraine,UKR,90577255848.0,1974.6212,304804.72,6.644867,45870700,0.0
2010,"Venezuela, RB",VEN,175000000000.0,6010.027,201747.34,6.946437,29043283,0.0
2010,Romania,ROM,112000000000.0,5233.163,78745.16,3.6731577,21438001,0.0
2010,Saudi Arabia,SAU,436000000000.0,15994.78,464480.56,17.039913,27258387,0.0
2010,Malawi,MWI,3290262502.0,219.15076,1239.446,0.08255437,15013694,0.0
2010,Moldova,MDA,3501430332.0,982.9785,4855.108,1.3630049,3562062,0.0
2010,West Bank and Gaza,WBG,,,2365.215,0.62061185,3811102,0.0
2010,Cuba,CUB,55436887631.0,4913.8477,38364.152,3.4005444,11281768,0.0
2010,Benin,BEN,5230812508.0,550.04456,5188.805,0.54562724,9509798,0.0
2010,Turks and Caicos Islands,TCA,,,161.348,5.20595,30993,0.0
2010,Nepal,NPL,10103288981.0,376.34222,3755.008,0.13987207,26846016,0.0
2010,Latvia,LVA,15502642580.0,6923.8887,7616.359,3.4016666,2239008,0.0
2010,Eritrea,ERI,1056636372.0,184.04584,513.38,0.08942097,5741159,0.0
2010,Trinidad and Tobago,TTO,18988955441.0,14297.89,50681.605,38.16113,1328095,0.0
2010,Tonga,TON,268854243.0,2582.7034,157.681,1.514736,104098,0.0
2010,Cambodia,KHM,8693197236.0,605.168,4180.38,0.29101288,14364931,0.0
2010,Belarus,BLR,42939088225.0,4524.667,62221.656,6.5565495,9490000,0.0
2010,"Macao SAR, China",MAC,20684077559.0,38688.875,1030.427,1.9273791,534626,0.0
2010,Algeria,DZA,117000000000.0,3146.7188,123475.23,3.3315117,37062820,0.0
2010,Costa Rica,CRI,25017792423.0,5357.49,7770.373,1.6640037,4669685,0.0
2010,Swaziland,SWZ,2917342648.0,2445.0803,1023.093,0.8574737,1193148,0.0
2010,Sudan,SDN,35822262376.0,785.69775,14172.955,0.3108586,35652002,0.0
2010,Rwanda,RWA,3818993880.0,352.41196,594.054,0.054818556,10836732,0.0
2010,Syrian Arab Republic,SYR,36613976515.0,1700.3937,61858.62,2.872783,21532647,0.0
2010,India,IND,1250000000000.0,1034.2408,2008822.9,1.6662092,1205624648,0.0
2010,St. Vincent and the Grenadines,VCT,591892928.9,5414.513,209.019,1.9120623,109316,0.0
2010,Qatar,QAT,92687851406.0,52973.176,70531.08,40.310085,1749713,0.0
2010,Colombia,COL,183000000000.0,3937.8672,75679.55,1.6294515,46444798,0.0
2010,Russian Federation,RUS,909000000000.0,6385.6606,1740776.2,12.225496,142389000,0.0
2010,Central African Republic,CAF,1895403785.0,435.7329,264.024,0.060696274,4349921,0.0
2010,Libya,LBY,,,59035.03,9.773022,6040612,0.0
2010,Singapore,SGP,169000000000.0,33380.938,13520.229,2.6631925,5076700,0.0
2010,Bhutan,BTN,1287238647.0,1795.4647,476.71,0.6649241,716939,0.0
2010,Northern Mariana Islands,MNP,,,,,53860,0.0
2010,Burkina Faso,BFA,7105465610.0,457.22882,1683.153,0.10830902,15540284,0.0
2010,"Egypt, Arab Rep.",EGY,121000000000.0,1550.2406,204776.28,2.6227913,78075705,0.0
2010,Sao Tome and Principe,STP,144835069.6,812.6393,99.009,0.55551875,178228,0.0
2010,Marshall Islands,MHL,147320122.0,2809.9512,102.676,1.9584192,52428,0.0
2010,Brazil,BRA,1100000000000.0,5618.3247,419754.16,2.150268,195210154,0.0
2010,Cape Verde,CPV,1532903134.0,3143.7654,355.699,0.72948784,487601,0.0
2010,Kosovo,KSV,4776327556.0,2689.8584,,,1775680,0.0
2010,Jamaica,JAM,,,7157.984,2.6499274,2701200,0.0
2010,American Samoa,ASM,,,,,55636,0.0
2010,Curacao,CUW,,,,,143784,0.0
2010,Namibia,NAM,8902636343.0,4085.714,3175.622,1.4573979,2178967,0.0
2010,Philippines,PHL,131000000000.0,1403.3064,81590.75,0.87314826,93444322,0.0
2010,Uganda,UGA,13362034649.0,393.14886,3784.344,0.11134611,33987213,0.0
2010,Malaysia,MYS,179000000000.0,6318.9014,216804.05,7.667467,28275835,0.0
2010,Fiji,FJI,3032066121.0,3523.3682,1290.784,1.4999367,860559,0.0
2010,Guam,GUM,,,,,159440,0.0
2010,Seychelles,SYC,1138398917.0,12681.284,704.064,7.8429766,89770,0.0
2010,El Salvador,SLV,18341273340.0,2949.6138,6248.568,1.0048845,6218195,0.0
2010,Thailand,THA,210000000000.0,3163.9038,295281.5,4.4468555,66402316,0.0
2010,Lao PDR,LAO,4021824832.0,628.83136,1873.837,0.2929833,6395713,0.0
2010,Sri Lanka,LKA,33253082140.0,1610.0848,12709.822,0.61539835,20653000,0.0
2010,Mauritius,MUS,7826157632.0,6109.7754,4118.041,3.2148988,1280924,0.0
2010,Pakistan,PAK,130000000000.0,748.0105,161395.67,0.9321185,173149306,0.0
2010,South Africa,ZAF,290000000000.0,5794.2363,460124.16,9.204084,49991300,0.0
2010,Faeroe Islands,FRO,,,711.398,14.348198,49581,0.0
2010,Afghanistan,AFG,10243250246.0,360.70563,8236.082,0.29002523,28397812,0.0
2010,Guyana,GUY,918902044.8,1168.8992,1701.488,2.164396,786126,0.0
2010,Mozambique,MOZ,9127794919.0,380.84424,2882.262,0.12025828,23967265,0.0
2010,Oman,OMN,41930341498.0,14960.333,57201.53,20.408943,2802768,0.0
2010,Montenegro,MNE,2803866144.0,4521.796,2581.568,4.1632957,620078,0.0
2010,Mongolia,MNG,3453733410.0,1273.154,11510.713,4.2432084,2712738,0.0
2010,St. Lucia,LCA,1067166275.0,6015.6953,403.37,2.2738266,177397,0.0
2010,"Iran, Islamic Rep.",IRN,,,571611.94,7.676527,74462314,0.0
2010,Uzbekistan,UZB,21491158366.0,752.4283,104443.49,3.6566777,28562400,0.0
2010,Tunisia,TUN,40161154597.0,3807.0693,25878.02,2.453102,10549100,0.0
2010,United Arab Emirates,ARE,204000000000.0,24219.297,167596.56,19.853798,8441537,0.0
2010,Comoros,COM,413107576.0,604.771,139.346,0.2039963,683081,0.0
2010,"Yemen, Rep.",YEM,20710400137.0,909.827,21851.652,0.9599633,22763008,0.0
2010,New Caledonia,NCL,,,3920.023,15.6805935,249992,0.0
2010,Maldives,MDV,1518834121.0,4663.3774,1074.431,3.298897,325694,0.0
2010,Palau,PLW,171792215.1,8392.39,216.353,10.569272,20470,0.0
2010,Paraguay,PRY,11148152795.0,1725.7948,5075.128,0.78565747,6459721,0.0
2010,Madagascar,MDG,5804539998.0,275.3638,2013.183,0.09550416,21079532,0.0
2010,Kazakhstan,KAZ,77245319067.0,4732.216,248728.94,15.237675,16323287,0.0
2010,Lithuania,LTU,27346902406.0,8320.17,13560.566,4.1257405,3286820,0.0
2010,South Sudan,SSD,,,,,9940929,0.0
