comp,dale,year,hexp,hc3,country,oecd,gini,geff,voice,tropics,popden,pubthe,gdpc,ncountry
81.618,65.0447,1993,811.29,4.6968,6,0,0.3679,0.138,-0.545,0,24.1536,32.0,19484.5,6
81.8454,65.2805,1994,809.039,4.77231,6,0,0.3679,0.138,-0.545,0,24.1536,32.0,19484.5,6
82.0729,65.5162,1995,819.578,4.83275,6,0,0.3679,0.138,-0.545,0,24.1536,32.0,19484.5,6
82.3004,65.7519,1996,840.019,4.89879,6,0,0.3679,0.138,-0.545,0,24.1536,32.0,19484.5,6
82.528,65.9875,1997,818.348,4.97681,6,0,0.3679,0.138,-0.545,0,24.1536,32.0,19484.5,6
80.7623,65.9324,1993,750.993,8.44267,7,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4,7
80.9625,66.1552,1994,781.429,8.54983,7,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4,7
81.1626,66.3781,1995,722.018,8.65848,7,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4,7
81.3626,66.6009,1996,793.498,8.71552,7,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4,7
81.5624,66.8238,1997,820.766,8.77134,7,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4,7
75.5772,65.3393,1993,88.6651,7.86115,8,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35,8
75.6581,65.4513,1994,31.7157,7.9387,8,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35,8
75.836,65.6987,1995,139.654,8.01488,8,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35,8
76.1854,66.1887,1996,148.316,8.08965,8,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35,8
76.6843,66.8975,1997,152.893,8.16303,8,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35,8
90.5285,71.2022,1993,1500.58,10.421,10,1,0.341,1.459,1.628,0,224.562,72.0,20632.3,10
90.7669,71.4207,1994,1537.45,10.4307,10,1,0.341,1.459,1.628,0,224.562,72.0,20632.3,10
91.0056,71.6393,1995,1578.38,10.44,10,1,0.341,1.459,1.628,0,224.562,72.0,20632.3,10
91.2022,71.8192,1996,1604.51,10.4491,10,1,0.341,1.459,1.628,0,224.562,72.0,20632.3,10
91.3298,71.9358,1997,1609.32,10.458,10,1,0.341,1.459,1.628,0,224.562,72.0,20632.3,10
90.2781,70.7282,1993,1765.07,7.52588,11,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7,11
90.5518,70.977,1994,1801.2,7.6009,11,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7,11
90.8148,71.2159,1995,1833.78,7.67491,11,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7,11
91.1079,71.4817,1996,1882.41,7.7479,11,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7,11
91.4703,71.81,1997,1971.07,7.81984,11,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7,11
59.878,35.3757,1993,27.3746,1.9573,14,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122,14
59.7445,35.186,1994,31.5801,2.00615,14,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122,14
59.6111,34.9963,1995,28.0407,2.05688,14,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122,14
59.4778,34.8066,1996,27.7011,2.11009,14,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122,14
59.3446,34.6168,1997,25.9249,2.16853,14,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122,14
90.769,71.3373,1993,1716.28,9.03719,15,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2,15
90.9095,71.4656,1994,1731.86,9.08561,15,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2,15
91.0502,71.594,1995,1722.16,9.13289,15,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2,15
91.191,71.7223,1996,1743.31,9.17905,15,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2,15
