comp,dale,year,hexp,hc3,country,oecd,gini,geff,voice,tropics,popden,pubthe,gdpc,ncountry
91.3511,71.8683,1997,1746.58,9.22409,15,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2,15
63.4697,41.2313,1993,23.5714,1.48734,16,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93,16
63.6487,41.4698,1994,38.2631,1.5547,16,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93,16
63.8278,41.7081,1995,37.713,1.6035,16,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93,16
64.0072,41.9464,1996,40.0273,1.65641,16,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93,16
64.1867,42.1845,1997,38.5179,1.70824,16,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93,16
59.8035,36.1821,1993,33.2966,1.53771,17,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904,17
59.69,36.0265,1994,35.4345,1.61664,17,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904,17
59.5766,35.8708,1995,35.1019,1.69518,17,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904,17
59.4633,35.7152,1996,34.6338,1.78097,17,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904,17
59.35,35.5595,1997,37.208,1.86859,17,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904,17
65.9739,47.7847,1993,52.1163,2.27388,18,0,0.3233,-0.565,-0.015,0,880.326,46.0,1419.61,18
66.4285,48.2914,1994,54.5582,2.30785,18,0,0.3233,-0.565,-0.015,0,880.326,46.0,1419.61,18
66.8842,48.7983,1995,55.3673,2.34235,18,0,0.3233,-0.565,-0.015,0,880.326,46.0,1419.61,18
67.341,49.3053,1996,59.935,2.4027,18,0,0.3233,-0.565,-0.015,0,880.326,46.0,1419.61,18
67.799,49.8126,1997,69.5611,2.46411,18,0,0.3233,-0.565,-0.015,0,880.326,46.0,1419.61,18
77.9895,64.9964,1993,241.652,9.312,19,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83,19
77.8874,64.8733,1994,219.661,9.35383,19,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83,19
77.8018,64.7703,1995,226.888,9.3946,19,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83,19
77.7189,64.6707,1996,175.105,9.43432,19,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83,19
77.6378,64.5734,1997,191.752,9.47302,19,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83,19
79.6306,64.0193,1993,573.898,4.8932,20,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5,20
79.8199,64.2235,1994,566.782,4.96641,20,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5,20
80.0091,64.4278,1995,534.414,5.04073,20,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5,20
80.1983,64.6321,1996,531.015,5.13228,20,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5,20
80.3875,64.8365,1997,541.486,5.22398,20,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5,20
77.6513,58.1844,1993,1014.73,8.37812,21,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8,21
77.8913,58.4312,1994,1041.78,8.36825,21,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8,21
78.1315,58.6768,1995,1037.14,8.36623,21,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8,21
78.3718,58.9213,1996,1140.86,8.4,21,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8,21
78.6121,59.1648,1997,1223.83,8.4202,21,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8,21
81.9857,62.9906,1993,321.977,8.95491,23,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95,23
81.5585,62.5776,1994,225.132,9.00927,23,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95,23
81.1899,62.2196,1995,186.072,9.06227,23,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95,23
80.923,61.9592,1996,220.768,8.89534,23,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95,23
80.8062,61.8451,1997,252.104,8.85618,23,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95,23
68.991,51.4592,1993,135.198,5.20391,25,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18,25
69.4218,51.9268,1994,143.233,5.30612,25,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18,25
69.8533,52.3943,1995,138.725,5.41053,25,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18,25
70.2857,52.8618,1996,177.648,5.49972,25,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18,25
70.7188,53.3291,1997,154.29,5.58887,25,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18,25
68.2283,58.3428,1993,408.614,3.91088,26,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34,26
68.4235,58.5661,1994,395.721,3.9451,26,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34,26
68.6164,58.7893,1995,444.905,3.97963,26,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34,26
68.8071,59.0123,1996,431.968,4.06543,26,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34,26
68.9956,59.2351,1997,426.747,4.15196,26,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34,26
84.1798,64.5836,1993,627.361,8.1435,27,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9,27
84.3505,64.7424,1994,644.981,8.21061,27,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9,27
84.5214,64.901,1995,639.652,8.27651,27,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9,27
84.6924,65.0595,1996,710.486,8.34119,27,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9,27
84.8635,65.2178,1997,816.205,8.40465,27,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9,27
60.5761,36.7021,1993,182.518,4.00584,30,0,0.441193,0.221,0.779,1,2.64303,61.0,5157.36,30
59.7844,35.5947,1994,198.192,4.09157,30,0,0.441193,0.221,0.779,1,2.64303,61.0,5157.36,30
58.9965,34.488,1995,208.049,4.17927,30,0,0.441193,0.221,0.779,1,2.64303,61.0,5157.36,30
58.2122,33.382,1996,207.399,4.26638,30,0,0.441193,0.221,0.779,1,2.64303,61.0,5157.36,30
57.4309,32.2766,1997,216.609,4.35412,30,0,0.441193,0.221,0.779,1,2.64303,61.0,5157.36,30
47.8201,37.5947,1993,22.0836,2.03993,31,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47,31
47.3486,37.2068,1994,28.3151,2.11199,31,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47,31
46.8766,36.8189,1995,32.1153,2.18696,31,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47,31
46.4042,36.4311,1996,31.3456,2.24399,31,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47,31
45.9312,36.0434,1997,33.4796,2.30206,31,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47,31
90.7396,71.409,1993,1937.07,10.3945,32,1,0.306,1.717,1.362,0,312.772,72.0,21487.9,32
90.9815,71.6306,1994,1825.78,10.4053,32,1,0.306,1.717,1.362,0,312.772,72.0,21487.9,32
91.2237,71.8523,1995,1863.03,10.4157,32,1,0.306,1.717,1.362,0,312.772,72.0,21487.9,32
91.4661,72.074,1996,1842.85,10.4258,32,1,0.306,1.717,1.362,0,312.772,72.0,21487.9,32
91.7087,72.2958,1997,1847.96,10.4355,32,1,0.306,1.717,1.362,0,312.772,72.0,21487.9,32
91.1123,71.6804,1993,2499.48,9.25409,34,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4,34
91.3339,71.8826,1994,2544.55,9.29669,34,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4,34
91.5858,72.1124,1995,2593.49,9.33826,34,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4,34
91.9172,72.4143,1996,2632.14,9.37881,34,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4,34
92.2489,72.7162,1997,2646.44,9.41836,34,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4,34
84.8101,67.9784,1993,415.416,6.94536,35,0,0.5369,1.166,0.615,0,19.7176,49.0,9566.77,35
85.0355,68.2076,1994,432.207,7.02444,35,0,0.5369,1.166,0.615,0,19.7176,49.0,9566.77,35
85.2609,68.4367,1995,470.956,7.1047,35,0,0.5369,1.166,0.615,0,19.7176,49.0,9566.77,35
85.4865,68.6658,1996,543.712,7.18663,35,0,0.5369,1.166,0.615,0,19.7176,49.0,9566.77,35
85.7121,68.8949,1997,583.573,7.26763,35,0,0.5369,1.166,0.615,0,19.7176,49.0,9566.77,35
67.0228,62.0513,1993,48.6213,6.21514,36,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56,36
67.0947,62.169,1994,52.0268,6.30076,36,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56,36
67.1658,62.2868,1995,59.2744,6.33017,36,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56,36
67.2363,62.4047,1996,66.868,6.39752,36,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56,36
67.3061,62.5226,1997,74.832,6.53047,36,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56,36
61.7093,44.6235,1993,61.7477,2.1537,37,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62,37
61.3259,44.2184,1994,54.6799,2.22833,37,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62,37
60.9432,43.8141,1995,55.1264,2.29548,37,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62,37
60.5611,43.4106,1996,55.6914,2.37097,37,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62,37
60.1797,43.0076,1997,57.6838,2.45179,37,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62,37
57.8629,41.0076,1993,49.0408,3.31515,38,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23,38
58.1668,41.323,1994,48.1714,3.40512,38,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23,38
58.4706,41.6384,1995,63.4646,3.49766,38,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23,38
58.7744,41.9537,1996,61.4258,3.57658,38,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23,38
59.0781,42.2691,1997,87.2114,3.65638,38,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23,38
60.7049,45.8365,1993,118.731,5.13598,39,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2,39
60.5276,45.6651,1994,96.9723,5.21111,39,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2,39
60.3501,45.4936,1995,108.263,5.30544,39,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2,39
60.1725,45.322,1996,101.427,5.40354,39,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2,39
59.9947,45.1504,1997,100.86,5.47743,39,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2,39
82.8987,62.2141,1993,235.668,4.95061,40,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45,40
83.1185,62.4175,1994,307.097,5.03544,40,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45,40
83.3391,62.6208,1995,367.406,5.1218,40,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45,40
83.5605,62.8241,1996,443.636,5.21308,40,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45,40
83.7827,63.0273,1997,508.752,5.30447,40,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45,40
64.4831,44.4476,1993,59.1334,2.80403,41,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65,41
64.967,45.032,1994,54.5502,2.83625,41,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65,41
65.4513,45.6148,1995,51.1968,2.85993,41,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65,41
65.9359,46.1958,1996,48.6622,2.8703,41,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65,41
66.4208,46.7749,1997,47.4593,2.91161,41,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65,41
66.6509,56.0801,1993,35.0219,2.97337,42,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43,42
67.0702,56.5151,1994,68.9065,3.10345,42,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43,42
67.4794,56.9472,1995,64.0406,3.21253,42,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43,42
67.8787,57.3767,1996,62.9872,3.34248,42,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43,42
68.2683,57.8034,1997,61.0241,3.48272,42,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43,42
82.1781,66.2833,1993,526.256,5.72827,43,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29,43
82.3267,66.4411,1994,465.293,5.78927,43,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29,43
82.4751,66.5987,1995,449.776,5.85108,43,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29,43
82.6234,66.7563,1996,479.49,5.94215,43,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29,43
82.7716,66.9138,1997,488.617,6.03292,43,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29,43
87.7316,69.2026,1993,553.915,7.66755,45,0,0.3679,1.041,1.115,0,80.816,35.0,12487.2,45
87.9435,69.4033,1994,597.115,7.74132,45,0,0.3679,1.041,1.115,0,80.816,35.0,12487.2,45
88.1557,69.6041,1995,630.046,7.81402,45,0,0.3679,1.041,1.115,0,80.816,35.0,12487.2,45
88.3681,69.8049,1996,725.25,7.88562,45,0,0.3679,1.041,1.115,0,80.816,35.0,12487.2,45
88.5807,70.0057,1997,736.745,7.95611,45,0,0.3679,1.041,1.115,0,80.816,35.0,12487.2,45
86.0621,66.7558,1993,638.489,10.1698,46,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63,46
86.4615,67.1256,1994,639.846,10.187,46,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63,46
86.8711,67.5038,1995,672.687,10.2038,46,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63,46
87.2642,67.8659,1996,641.357,10.2201,46,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63,46
87.6368,68.2082,1997,640.196,10.2358,46,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63,46
90.1346,69.6279,1993,2065.95,9.11769,47,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9,47
90.3495,69.8168,1994,2130.14,9.16373,47,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9,47
90.6638,70.0927,1995,2269.66,9.20869,47,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9,47
90.9788,70.3687,1996,2325.7,9.25258,47,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9,47
91.2841,70.6358,1997,2359.23,9.29542,47,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9,47
90.4938,69.2491,1993,1792.47,10.7145,50,1,0.2393,1.721,1.633,0,123.323,84.3,24272.0,50
90.6108,69.3494,1994,1784.23,10.719,50,1,0.2393,1.721,1.633,0,123.323,84.3,24272.0,50
90.6852,69.413,1995,1786.64,10.7233,50,1,0.2393,1.721,1.633,0,123.323,84.3,24272.0,50
90.7596,69.4767,1996,1860.5,10.7276,50,1,0.2393,1.721,1.633,0,123.323,84.3,24272.0,50
90.8645,69.5666,1997,1941.76,10.7316,50,1,0.2393,1.721,1.633,0,123.323,84.3,24272.0,50
77.1554,61.5188,1993,179.263,4.65502,51,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33,51
77.403,61.7858,1994,180.076,4.7279,51,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33,51
77.6499,62.0523,1995,174.357,4.80229,51,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33,51
77.8962,62.3184,1996,187.637,4.89311,51,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33,51
78.1418,62.5839,1997,203.513,4.98422,51,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33,51
72.894,59.7565,1993,185.367,6.19734,53,0,0.4209,-0.562,0.268,1,46.4688,52.8,4084.99,53
73.1662,60.0653,1994,189.238,6.29634,53,0,0.4209,-0.562,0.268,1,46.4688,52.8,4084.99,53
73.4367,60.374,1995,185.598,6.39699,53,0,0.4209,-0.562,0.268,1,46.4688,52.8,4084.99,53
73.7054,60.6828,1996,177.405,6.48538,53,0,0.4209,-0.562,0.268,1,46.4688,52.8,4084.99,53
73.9724,60.9915,1997,187.909,6.57316,53,0,0.4209,-0.562,0.268,1,46.4688,52.8,4084.99,53
71.6491,56.4763,1993,96.0184,3.27986,54,0,0.2784,-0.138,-0.674,0,61.7084,27.0,3156.84,54
72.1184,56.9734,1994,100.731,3.32946,54,0,0.2784,-0.138,-0.674,0,61.7084,27.0,3156.84,54
72.5877,57.473,1995,103.407,3.38577,54,0,0.2784,-0.138,-0.674,0,61.7084,27.0,3156.84,54
73.0571,57.9748,1996,109.653,3.44706,54,0,0.2784,-0.138,-0.674,0,61.7084,27.0,3156.84,54
73.5264,58.4791,1997,116.803,3.50853,54,0,0.2784,-0.138,-0.674,0,61.7084,27.0,3156.84,54
89.9438,72.0118,1993,1044.42,7.10169,56,1,0.3144,1.603,1.338,0,77.5446,70.6,15186.4,56
90.1624,72.2229,1994,1108.1,7.18383,56,1,0.3144,1.603,1.338,0,77.5446,70.6,15186.4,56
90.3812,72.434,1995,1121.9,7.26504,56,1,0.3144,1.603,1.338,0,77.5446,70.6,15186.4,56
90.6391,72.6827,1996,1204.84,7.34527,56,1,0.3144,1.603,1.338,0,77.5446,70.6,15186.4,56
90.9558,72.988,1997,1214.91,7.42451,56,1,0.3144,1.603,1.338,0,77.5446,70.6,15186.4,56
80.3299,61.8554,1993,276.4,8.62058,57,0,0.3406,0.258,0.789,0,32.6397,78.9,5428.41,57
80.2888,61.8147,1994,304.51,8.68288,57,0,0.3406,0.258,0.789,0,32.6397,78.9,5428.41,57
80.4051,61.93,1995,332.261,8.74376,57,0,0.3406,0.258,0.789,0,32.6397,78.9,5428.41,57
80.8227,62.3428,1996,338.277,8.76904,57,0,0.3406,0.258,0.789,0,32.6397,78.9,5428.41,57
81.7467,63.2501,1997,347.418,8.74629,57,0,0.3406,0.258,0.789,0,32.6397,78.9,5428.41,57
51.3287,34.4737,1993,16.2299,1.7922,58,0,0.3812,-0.146,-0.5,1,5307.81,36.2,521.495,58
51.0943,34.233,1994,17.239,1.85464,58,0,0.3812,-0.146,-0.5,1,5307.81,36.2,521.495,58
50.8599,33.9922,1995,17.776,1.91517,58,0,0.3812,-0.146,-0.5,1,5307.81,36.2,521.495,58
50.6254,33.7515,1996,18.6678,1.973,58,0,0.3812,-0.146,-0.5,1,5307.81,36.2,521.495,58
50.391,33.5108,1997,19.8168,2.02372,58,0,0.3812,-0.146,-0.5,1,5307.81,36.2,521.495,58
89.5934,69.6225,1993,1470.53,9.691,59,1,0.2488,1.635,1.602,0,15.6058,73.7,20322.6,59
89.8981,69.8955,1994,1423.68,9.72284,59,1,0.2488,1.635,1.602,0,15.6058,73.7,20322.6,59
90.262,70.221,1995,1452.95,9.7538,59,1,0.2488,1.635,1.602,0,15.6058,73.7,20322.6,59
90.5642,70.491,1996,1514.84,9.78389,59,1,0.2488,1.635,1.602,0,15.6058,73.7,20322.6,59
90.7783,70.6819,1997,1544.52,9.81313,59,1,0.2488,1.635,1.602,0,15.6058,73.7,20322.6,59
76.6836,58.6646,1993,196.176,8.17975,60,0,0.381411,0.635,0.013,1,42.0721,69.2,5095.35,60
76.8803,58.8687,1994,200.493,8.29454,60,0,0.381411,0.635,0.013,1,42.0721,69.2,5095.35,60
77.0777,59.0731,1995,195.586,8.41096,60,0,0.381411,0.635,0.013,1,42.0721,69.2,5095.35,60
77.2757,59.2776,1996,205.242,8.47234,60,0,0.381411,0.635,0.013,1,42.0721,69.2,5095.35,60
77.4744,59.4824,1997,214.005,8.53254,60,0,0.381411,0.635,0.013,1,42.0721,69.2,5095.35,60
91.0539,72.5189,1993,1935.46,6.99921,61,1,0.3164,1.28,1.15,0,104.225,76.9,21617.5,61
91.2896,72.7412,1994,1960.58,7.08229,61,1,0.3164,1.28,1.15,0,104.225,76.9,21617.5,61
91.5186,72.9571,1995,2036.06,7.16448,61,1,0.3164,1.28,1.15,0,104.225,76.9,21617.5,61
91.7411,73.1667,1996,2058.39,7.24575,61,1,0.3164,1.28,1.15,0,104.225,76.9,21617.5,61
91.925,73.3399,1997,2118.51,7.32606,61,1,0.3164,1.28,1.15,0,104.225,76.9,21617.5,61
90.6273,71.0,1993,1141.92,8.92111,64,1,0.348,1.966,1.489,0,258.235,96.9,20590.7,64
90.8881,71.2363,1994,1187.0,8.97242,64,1,0.348,1.966,1.489,0,258.235,96.9,20590.7,64
91.1282,71.4537,1995,1215.31,9.02256,64,1,0.348,1.966,1.489,0,258.235,96.9,20590.7,64
91.3686,71.6713,1996,1179.34,9.07153,64,1,0.348,1.966,1.489,0,258.235,96.9,20590.7,64
91.6101,71.8895,1997,1194.26,9.11935,64,1,0.348,1.966,1.489,0,258.235,96.9,20590.7,64
77.4428,66.4176,1993,155.751,10.3252,65,0,0.319462,-0.512,-0.291,0,77.3663,8.6,2144.91,65
77.4376,66.4106,1994,73.4297,10.3392,65,0,0.319462,-0.512,-0.291,0,77.3663,8.6,2144.91,65
77.4323,66.4036,1995,80.6116,10.3527,65,0,0.319462,-0.512,-0.291,0,77.3663,8.6,2144.91,65
77.4271,66.3966,1996,90.9402,10.3901,65,0,0.319462,-0.512,-0.291,0,77.3663,8.6,2144.91,65
77.4218,66.3896,1997,94.3762,10.426,65,0,0.319462,-0.512,-0.291,0,77.3663,8.6,2144.91,65
64.5322,43.798,1993,56.7365,3.92063,66,0,0.3169,-0.287,-0.435,1,79.1566,47.0,1461.8,66
64.8566,44.2029,1994,57.0853,4.01556,66,0,0.3169,-0.287,-0.435,1,79.1566,47.0,1461.8,66
65.1816,44.6075,1995,57.8991,4.11295,66,0,0.3169,-0.287,-0.435,1,79.1566,47.0,1461.8,66
65.5072,45.0117,1996,60.5023,4.18782,66,0,0.3169,-0.287,-0.435,1,79.1566,47.0,1461.8,66
65.8334,45.4156,1997,45.3157,4.26308,66,0,0.3169,-0.287,-0.435,1,79.1566,47.0,1461.8,66
57.1759,45.7584,1993,71.3156,2.00549,68,0,0.4556,0.164,-0.971,1,111.071,45.9,1160.58,68
57.9291,46.4021,1994,58.4949,2.06039,68,0,0.4556,0.164,-0.971,1,111.071,45.9,1160.58,68
58.6759,47.0448,1995,59.5421,2.13123,68,0,0.4556,0.164,-0.971,1,111.071,45.9,1160.58,68
59.416,47.6865,1996,58.9765,2.20379,68,0,0.4556,0.164,-0.971,1,111.071,45.9,1160.58,68
60.1488,48.327,1997,52.2259,2.27903,68,0,0.4556,0.164,-0.971,1,111.071,45.9,1160.58,68
51.5089,36.2399,1993,33.9465,1.62572,69,0,0.5368,-0.334,-0.454,1,34.3516,75.6,947.427,69
51.7435,36.468,1994,35.1469,1.71549,69,0,0.5368,-0.334,-0.454,1,34.3516,75.6,947.427,69
51.9781,36.6962,1995,59.0815,1.72011,69,0,0.5368,-0.334,-0.454,1,34.3516,75.6,947.427,69
52.2125,36.9243,1996,62.1809,1.71307,69,0,0.5368,-0.334,-0.454,1,34.3516,75.6,947.427,69
52.447,37.1525,1997,54.0033,1.69066,69,0,0.5368,-0.334,-0.454,1,34.3516,75.6,947.427,69
58.379,42.2388,1993,54.5856,4.23485,70,0,0.444238,-1.204,-1.389,1,15.4514,57.2,2540.02,70
