obs,carsales,persincome,pricegas,quantgas,transindex
2001:10,10.183,8701,136.2,8655.0,152.3
2001:11,8.448,8701,126.3,8677.0,150.2
2001:12,7.592,8701,113.1,8585.0,148.5
2002:01,7.676,8803,113.9,8172.0,148.6
2002:02,7.901,8803,113.0,8630.0,148.4
2002:03,8.144,8803,124.1,8655.0,150.5
2002:04,8.471,8914,140.7,8743.0,153.7
2002:05,7.779,8914,142.1,9071.0,153.8
2002:06,7.969,8914,140.4,9176.0,153.4
2002:07,8.803,8992,141.2,9128.0,153.7
2002:08,8.725,8992,142.3,9294.0,153.9
