personid,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ,WFHShare,calls
10226,22.0,62.0,3.3343222,no,no,60.0,0.0,0.0,1.0,0.0,0.43434343,227.0
10228,22.0,62.0,5.9146934,no,no,30.0,1.0,0.0,1.0,0.0,0.72727275,204.0
10236,22.0,62.0,3.9678166,no,no,55.0,0.0,0.0,1.0,0.0,0.9444444,702.0
10356,27.0,62.0,3.796718,no,yes,60.0,1.0,0.0,0.0,1.0,,
10450,27.0,61.0,4.5207467,no,yes,180.0,0.0,0.0,0.0,1.0,,
10794,32.0,60.0,4.169194,yes,yes,120.0,0.0,1.0,1.0,0.0,0.16161616,154.0
10822,26.0,60.0,2.99627,no,yes,70.0,0.0,1.0,1.0,0.0,0.26262626,162.0
10868,30.0,60.0,1.4717622,yes,yes,130.0,0.0,1.0,0.0,0.0,,
11034,25.0,59.0,3.9688244,no,no,40.0,0.0,0.0,0.0,1.0,,
11062,22.0,59.0,3.3237,no,no,40.0,0.0,0.0,1.0,0.0,0.82828283,456.0
11128,28.0,59.0,3.9076154,no,yes,40.0,0.0,1.0,0.0,1.0,,
11212,32.0,59.0,3.6687167,no,no,180.0,0.0,0.0,0.0,0.0,,
11238,23.0,59.0,3.4772835,no,no,80.0,1.0,0.0,1.0,1.0,0.6515151,727.0
11314,25.0,59.0,3.74853,no,yes,120.0,1.0,0.0,1.0,1.0,0.6818182,539.0
11348,25.0,59.0,2.752518,yes,yes,120.0,0.0,1.0,1.0,0.0,0.9040404,611.0
11362,27.0,59.0,3.9455733,yes,yes,180.0,0.0,1.0,0.0,0.0,,
11386,26.0,59.0,3.5143433,no,no,80.0,1.0,0.0,0.0,0.0,,
11390,31.0,59.0,4.7715454,no,yes,60.0,1.0,1.0,1.0,0.0,0.3181818,724.0
11582,22.0,58.0,3.71543,no,yes,50.0,0.0,0.0,0.0,0.0,,
11814,24.0,58.0,5.930838,no,yes,50.0,0.0,0.0,0.0,0.0,,
11868,30.0,57.0,2.7679133,no,yes,120.0,1.0,0.0,1.0,1.0,0.6010101,509.0
11870,28.0,57.0,3.38325,no,yes,20.0,0.0,0.0,0.0,0.0,,
11896,29.0,57.0,3.5289278,yes,yes,120.0,1.0,1.0,0.0,1.0,,
12150,33.0,57.0,2.9225345,yes,yes,150.0,0.0,1.0,0.0,1.0,,
12306,24.0,56.0,3.4949443,no,yes,180.0,1.0,0.0,1.0,0.0,0.07070707,199.0
12350,29.0,56.0,4.3548565,yes,yes,180.0,1.0,1.0,0.0,0.0,,
12426,30.0,56.0,2.8134468,no,yes,60.0,0.0,1.0,1.0,1.0,0.16161616,62.0
12806,23.0,55.0,2.390318,no,no,80.0,0.0,0.0,1.0,0.0,0.540404,382.0
12896,26.0,54.0,4.395289,no,yes,150.0,0.0,1.0,1.0,1.0,0.74747473,536.0
12974,22.0,54.0,3.8363302,no,yes,20.0,0.0,0.0,0.0,0.0,,
13010,21.0,54.0,4.32598,no,no,70.0,0.0,0.0,1.0,0.0,0.1010101,467.0
13054,25.0,54.0,3.4843545,no,no,120.0,0.0,0.0,0.0,1.0,,
13056,28.0,54.0,2.136348,no,yes,60.0,1.0,0.0,0.0,0.0,,
13118,22.0,54.0,2.8010588,no,yes,125.0,1.0,0.0,0.0,1.0,,
13214,21.0,54.0,2.7348032,no,no,120.0,0.0,0.0,0.0,0.0,,
13222,21.0,54.0,4.109039,no,no,60.0,0.0,0.0,0.0,1.0,,
13250,25.0,54.0,4.74861,no,yes,60.0,0.0,0.0,1.0,1.0,0.055555556,268.0
13346,21.0,53.0,4.6262054,no,no,40.0,0.0,0.0,1.0,1.0,0.2979798,249.0
13484,25.0,53.0,2.7452157,no,yes,90.0,0.0,0.0,0.0,1.0,,
13486,23.0,53.0,2.3599699,no,yes,10.0,1.0,0.0,0.0,0.0,,
13530,29.0,53.0,2.9978867,no,yes,100.0,1.0,0.0,1.0,0.0,0.9040404,701.0
13574,30.0,53.0,4.197055,yes,yes,190.0,1.0,1.0,1.0,1.0,0.65656567,498.0
13664,25.0,53.0,3.9619966,no,no,60.0,1.0,0.0,1.0,1.0,0.17676768,253.0
13710,30.0,52.0,3.8624947,yes,yes,120.0,1.0,1.0,1.0,1.0,0.9292929,557.0
13812,25.0,36.0,3.3776224,no,no,90.0,0.0,0.0,0.0,1.0,,
13980,28.0,51.0,4.4680867,no,yes,120.0,0.0,0.0,0.0,0.0,,
14048,28.0,51.0,3.6995213,yes,yes,180.0,0.0,1.0,1.0,0.0,0.4090909,404.0
14212,26.0,51.0,3.458298,no,yes,120.0,1.0,0.0,1.0,1.0,0.989899,725.0
14220,28.0,51.0,2.7996411,yes,yes,240.0,1.0,1.0,1.0,0.0,0.82323235,616.0
14266,26.0,51.0,3.0967278,no,yes,60.0,0.0,1.0,0.0,0.0,,
14374,28.0,50.0,3.3623633,no,yes,2.5,0.0,0.0,1.0,1.0,0.85858583,738.0
14380,25.0,50.0,3.0946934,no,no,130.0,0.0,1.0,1.0,1.0,0.7878788,773.0
14382,26.0,50.0,5.1260633,yes,yes,190.0,0.0,1.0,1.0,1.0,0.030303031,171.0
14384,32.0,50.0,3.6653888,no,yes,180.0,0.0,0.0,1.0,1.0,0.46464646,440.0
14522,29.0,50.0,3.402489,no,yes,40.0,1.0,0.0,1.0,0.0,0.74242425,661.0
14528,28.0,50.0,2.6626198,yes,yes,65.0,0.0,1.0,1.0,0.0,0.035353534,136.0
14532,26.0,50.0,2.9423811,no,yes,120.0,0.0,0.0,1.0,0.0,0.48989898,462.0
14556,26.0,50.0,3.7961645,yes,yes,120.0,0.0,1.0,1.0,1.0,0.5808081,514.0
14672,23.0,50.0,2.9062588,no,yes,30.0,0.0,0.0,1.0,0.0,0.6010101,250.0
14678,26.0,50.0,3.7973533,no,yes,60.0,1.0,1.0,1.0,1.0,0.2979798,267.0
14682,23.0,50.0,3.9770288,no,yes,80.0,1.0,0.0,0.0,0.0,,
14704,25.0,50.0,4.0076942,no,no,50.0,0.0,0.0,0.0,1.0,,
14724,24.0,50.0,5.95908,no,yes,30.0,1.0,0.0,0.0,1.0,,
14734,25.0,50.0,5.2125,no,yes,50.0,1.0,0.0,0.0,1.0,,
14804,29.0,25.0,3.6911023,yes,yes,150.0,0.0,1.0,0.0,1.0,,
14926,28.0,50.0,4.925762,no,yes,20.0,1.0,0.0,0.0,1.0,,
15098,25.0,49.0,4.404284,no,no,60.0,0.0,0.0,0.0,1.0,,
15148,25.0,49.0,2.7831867,no,yes,36.0,0.0,0.0,1.0,1.0,0.10606061,188.0
15294,25.0,49.0,3.7159467,no,yes,80.0,0.0,0.0,1.0,0.0,0.8333333,541.0
15436,23.0,49.0,4.1681857,no,no,40.0,0.0,0.0,1.0,0.0,0.94949496,682.0
15444,27.0,49.0,3.27178,no,yes,120.0,0.0,1.0,1.0,1.0,0.6262626,508.0
15452,26.0,49.0,2.66299,no,yes,30.0,1.0,0.0,0.0,1.0,,
15704,27.0,48.0,2.8402689,no,yes,150.0,0.0,1.0,0.0,0.0,,
15732,25.0,48.0,1.0904567,no,yes,80.0,0.0,0.0,0.0,1.0,,
15836,31.0,48.0,3.318231,no,no,30.0,1.0,0.0,1.0,1.0,0.82828283,656.0
15862,26.0,48.0,3.8316634,no,yes,80.0,0.0,0.0,0.0,1.0,,
16104,28.0,44.5,3.7076747,no,yes,120.0,1.0,1.0,0.0,0.0,,
16334,30.0,47.0,3.4295022,yes,yes,240.0,1.0,1.0,1.0,1.0,0.45454547,407.0
16410,25.0,47.0,3.8790488,no,no,30.0,1.0,0.0,0.0,1.0,,
16422,29.0,47.0,2.2396276,yes,yes,90.0,0.0,1.0,1.0,1.0,0.53535354,638.0
16424,22.0,47.0,3.1301768,no,yes,180.0,0.0,0.0,1.0,0.0,0.86868685,595.0
16514,28.0,47.0,2.3920667,no,yes,70.0,1.0,0.0,1.0,0.0,0.45454547,692.0
16518,27.0,47.0,3.268999,no,yes,180.0,1.0,0.0,0.0,0.0,,
16538,22.0,47.0,3.1119468,no,no,180.0,1.0,0.0,0.0,0.0,,
16564,30.0,47.0,3.0948277,no,yes,30.0,1.0,0.0,1.0,0.0,0.9040404,578.0
16594,29.0,47.0,3.6042979,yes,yes,160.0,0.0,1.0,1.0,1.0,0.17171717,149.0
16596,34.0,47.0,4.7260346,yes,yes,40.0,1.0,1.0,1.0,1.0,0.86868685,584.0
16654,29.0,47.0,2.666011,yes,yes,90.0,0.0,1.0,0.0,0.0,,
16806,28.0,46.0,2.4147966,yes,yes,120.0,1.0,1.0,0.0,1.0,,
16812,24.0,46.0,3.0640123,no,yes,80.0,0.0,0.0,0.0,0.0,,
16870,21.0,46.0,2.4054167,no,no,120.0,1.0,0.0,1.0,1.0,0.66161615,520.0
17000,27.0,46.0,4.5554433,no,no,20.0,1.0,0.0,0.0,1.0,,
17014,27.0,46.0,4.1354113,no,yes,120.0,1.0,0.0,0.0,1.0,,
17058,23.0,46.0,2.623,no,yes,140.0,0.0,0.0,1.0,0.0,0.4949495,413.0
17160,27.0,46.0,3.3902433,yes,yes,180.0,1.0,1.0,1.0,1.0,0.3030303,442.0
17166,27.0,46.0,4.1173334,no,yes,180.0,0.0,0.0,0.0,0.0,,
17172,28.0,46.0,4.641931,no,yes,240.0,0.0,0.0,1.0,1.0,0.64141417,541.0
17178,25.0,46.0,3.7911956,no,no,40.0,0.0,0.0,0.0,0.0,,
17180,24.0,46.0,3.174589,no,no,120.0,0.0,0.0,1.0,0.0,0.8333333,758.0
17274,26.0,46.0,3.1348279,yes,yes,120.0,0.0,1.0,0.0,1.0,,
17290,31.0,46.0,5.9103727,yes,no,210.0,0.0,1.0,1.0,0.0,0.66161615,495.0
17386,23.0,45.0,2.3342412,yes,yes,120.0,0.0,1.0,0.0,0.0,,
17518,30.0,45.0,3.7134566,yes,yes,190.0,0.0,1.0,1.0,0.0,0.121212125,186.0
17524,25.0,45.0,2.5359511,no,no,80.0,0.0,0.0,1.0,0.0,0.34848484,697.0
17572,23.0,45.0,4.003351,no,yes,210.0,0.0,0.0,1.0,0.0,0.6969697,547.0
17616,23.0,45.0,2.7490478,no,yes,150.0,0.0,0.0,1.0,0.0,0.47474748,429.0
17668,23.0,45.0,3.991341,no,yes,40.0,0.0,0.0,0.0,0.0,,
17714,29.0,45.0,2.826089,yes,yes,40.0,0.0,1.0,0.0,1.0,,
17722,24.0,45.0,4.19518,no,yes,120.0,1.0,0.0,1.0,0.0,0.5050505,499.0
