newid,age_ref,fam_size,no_earnr,region,totexppq,foodpq,hh_cu_q,fractearners,ratioover64,ratioless18,rationless2,urbn,northe,midw,west,raceb,racea,racena,racepi,racew,jfs_amt,r
2776372,74,2,0,1,2413.8,381.6667,1,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1920,0.0052630873
2717603,41,4,1,4,14629.25,2990.0,1,0.25,0.0,0.5,0.25,1,0,0,1,0,0,0,0,1,0,0.005295013
2670155,59,6,0,3,2493.3333,1061.6667,1,0.0,0.0,0.16666667,0.0,1,0,0,0,1,0,0,0,0,0,0.00538278
2705784,44,4,2,2,2512.5,476.6667,1,0.5,0.0,0.25,0.0,1,0,1,0,1,0,0,0,0,0,0.005666059
2655655,45,2,1,1,14499.0,1587.0,1,0.5,0.0,0.5,0.0,1,1,0,0,0,0,0,0,1,0,0.00569133
2650155,43,2,1,1,11746.75,2260.0,1,0.5,0.0,0.5,0.0,1,1,0,0,0,0,0,0,1,0,0.0058343904
2725293,40,2,1,4,4586.7334,433.3333,1,0.5,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,1800,0.0058540106
2763642,27,1,1,2,3400.8333,650.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.006417741
2716803,55,2,1,2,5632.75,715.0,1,0.5,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0.006424026
2747512,75,2,0,4,23238.4,1820.0,1,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.00653477
2713593,22,1,1,3,3111.25,375.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.006717387
2707494,78,2,0,3,7754.467,823.3333,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0072375024
2703414,76,1,0,3,1470.5667,216.6667,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.007262624
2710674,53,1,1,3,1983.2834,195.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0073893783
2713014,71,1,1,3,6140.317,603.3333,1,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,4800,0.007704629
2656625,31,4,1,2,6084.65,2080.0,1,0.25,0.0,0.5,0.0,0,0,1,0,0,0,0,0,1,0,0.007841128
2721843,55,5,3,1,8908.25,1105.0,1,0.6,0.0,0.4,0.0,1,1,0,0,0,0,0,0,1,0,0.008023616
2688224,75,1,0,3,6054.7,975.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.00812763
2697454,63,6,2,4,16119.634,4593.3335,1,0.33333334,0.0,0.33333334,0.0,1,0,0,1,0,0,0,0,1,0,0.0081281895
2665985,59,2,0,4,21145.666,6003.3335,1,0.0,0.5,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.008347851
2764212,60,1,1,4,19762.188,876.6667,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.008691096
2785103,25,1,1,3,9050.5,906.0,1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0.008806425
2757992,69,2,1,1,4756.0503,1379.0,1,0.5,0.5,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.00896842
2738423,39,4,1,3,2077.2666,463.6667,1,0.25,0.25,0.5,0.0,1,0,0,0,0,0,0,0,1,0,0.009149447
2680694,55,4,4,3,15451.149,2676.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.009322163
2668425,53,1,1,3,7065.8335,953.3333,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.009345873
2719413,51,2,1,2,20335.5,2145.0,1,0.5,0.0,0.5,0.0,1,0,1,0,0,0,0,0,1,0,0.009361271
2736965,25,2,2,4,3425.0833,953.3333,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0.009500358
2750612,59,2,2,2,9077.7,1920.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.009723576
2774362,32,1,1,4,1065.25,173.3333,2,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.009780411
2775602,75,1,0,2,1962.5667,228.6667,1,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.009981187
2699064,69,1,1,3,7833.0,648.3333,1,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1440,0.0099823205
2737573,33,5,2,3,2639.5833,866.6667,1,0.4,0.0,0.6,0.0,1,0,0,0,0,0,0,0,1,0,0.010384129
2673245,69,1,1,1,3932.9,554.6667,1,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.010515768
2748852,44,3,1,3,25480.5,3315.0,1,0.33333334,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,1,0,0.010544166
2768332,51,2,1,3,12386.333,1993.3333,1,0.5,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.010604078
2666955,66,1,1,2,3667.6667,346.6667,1,1.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.011099636
2656385,54,2,1,3,67095.5,3822.0,1,0.5,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.011164904
2760222,45,5,2,2,6089.467,1769.3333,1,0.4,0.0,0.8,0.0,1,0,1,0,0,0,0,0,1,0,0.011338404
2752762,61,1,1,4,10854.9,1260.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.0117242765
2770472,43,5,2,1,8080.3667,1646.6667,1,0.4,0.0,0.2,0.0,1,1,0,0,0,0,0,0,1,2556,0.0117569845
2727443,69,1,0,4,2405.8,572.0,1,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.01177079
2780262,50,1,1,1,1814.9667,390.0,1,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.011821495
